value,time
132.0,2024-08-12T00:00:00
155.5,2024-08-12T01:00:00
174.7,2024-08-12T02:00:00
181.1,2024-08-12T03:00:00
178.1,2024-08-12T04:00:00
165.6,2024-08-12T05:00:00
141.4,2024-08-12T06:00:00
117.8,2024-08-12T07:00:00
97.3,2024-08-12T08:00:00
85.0,2024-08-12T09:00:00
83.4,2024-08-12T10:00:00
90.1,2024-08-12T11:00:00
110.3,2024-08-12T12:00:00
137.0,2024-08-12T13:00:00
156.1,2024-08-12T14:00:00
172.6,2024-08-12T15:00:00
176.1,2024-08-12T16:00:00
170.5,2024-08-12T17:00:00
160.2,2024-08-12T18:00:00
137.1,2024-08-12T19:00:00
119.5,2024-08-12T20:00:00
110.8,2024-08-12T21:00:00
104.7,2024-08-12T22:00:00
108.2,2024-08-12T23:00:00
122.0,2024-08-13T00:00:00
138.7,2024-08-13T01:00:00
159.9,2024-08-13T02:00:00
173.5,2024-08-13T03:00:00
177.3,2024-08-13T04:00:00
177.8,2024-08-13T05:00:00
164.9,2024-08-13T06:00:00
145.1,2024-08-13T07:00:00
127.4,2024-08-13T08:00:00
112.0,2024-08-13T09:00:00
104.1,2024-08-13T10:00:00
102.9,2024-08-13T11:00:00
111.4,2024-08-13T12:00:00
128.8,2024-08-13T13:00:00
146.3,2024-08-13T14:00:00
164.2,2024-08-13T15:00:00
177.1,2024-08-13T16:00:00
178.7,2024-08-13T17:00:00
175.4,2024-08-13T18:00:00
162.8,2024-08-13T19:00:00
146.1,2024-08-13T20:00:00
131.6,2024-08-13T21:00:00
120.3,2024-08-13T22:00:00
115.9,2024-08-13T23:00:00
117.6,2024-08-14T00:00:00
129.5,2024-08-14T01:00:00
144.9,2024-08-14T02:00:00
161.3,2024-08-14T03:00:00
176.3,2024-08-14T04:00:00
183.1,2024-08-14T05:00:00
182.3,2024-08-14T06:00:00
172.2,2024-08-14T07:00:00
159.4,2024-08-14T08:00:00
143.7,2024-08-14T09:00:00
129.4,2024-08-14T10:00:00
120.7,2024-08-14T11:00:00
117.6,2024-08-14T12:00:00
120.7,2024-08-14T13:00:00
134.4,2024-08-14T14:00:00
149.7,2024-08-14T15:00:00
163.8,2024-08-14T16:00:00
176.1,2024-08-14T17:00:00
175.6,2024-08-14T18:00:00
172.4,2024-08-14T19:00:00
162.1,2024-08-14T20:00:00
146.0,2024-08-14T21:00:00
132.5,2024-08-14T22:00:00
118.4,2024-08-14T23:00:00
108.9,2024-08-15T00:00:00
109.8,2024-08-15T01:00:00
120.5,2024-08-15T02:00:00
135.6,2024-08-15T03:00:00
150.8,2024-08-15T04:00:00
167.7,2024-08-15T05:00:00
181.1,2024-08-15T06:00:00
185.8,2024-08-15T07:00:00
181.6,2024-08-15T08:00:00
170.2,2024-08-15T09:00:00
156.5,2024-08-15T10:00:00
141.9,2024-08-15T11:00:00
130.0,2024-08-15T12:00:00
124.8,2024-08-15T13:00:00
130.0,2024-08-15T14:00:00
143.1,2024-08-15T15:00:00
160.8,2024-08-15T16:00:00
179.5,2024-08-15T17:00:00
191.2,2024-08-15T18:00:00
201.7,2024-08-15T19:00:00
201.3,2024-08-15T20:00:00
190.8,2024-08-15T21:00:00
172.6,2024-08-15T22:00:00
148.6,2024-08-15T23:00:00
131.4,2024-08-16T00:00:00
118.2,2024-08-16T01:00:00
111.1,2024-08-16T02:00:00
118.3,2024-08-16T03:00:00
132.3,2024-08-16T04:00:00
149.3,2024-08-16T05:00:00
170.8,2024-08-16T06:00:00
187.4,2024-08-16T07:00:00
196.1,2024-08-16T08:00:00
193.8,2024-08-16T09:00:00
