Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Ålesund Iv;SN60945;01.01.2023;11
Ålesund Iv;SN60945;02.01.2023;0
Ålesund Iv;SN60945;03.01.2023;0
Ålesund Iv;SN60945;04.01.2023;0
Ålesund Iv;SN60945;05.01.2023;0
Ålesund Iv;SN60945;06.01.2023;0
Ålesund Iv;SN60945;07.01.2023;3,9
Ålesund Iv;SN60945;08.01.2023;3,2
Ålesund Iv;SN60945;09.01.2023;0
Ålesund Iv;SN60945;10.01.2023;0
Ålesund Iv;SN60945;11.01.2023;2,4
Ålesund Iv;SN60945;12.01.2023;25,6
Ålesund Iv;SN60945;13.01.2023;1,3
Ålesund Iv;SN60945;14.01.2023;0
Ålesund Iv;SN60945;15.01.2023;0
Ålesund Iv;SN60945;16.01.2023;2,8
Ålesund Iv;SN60945;17.01.2023;0
Ålesund Iv;SN60945;18.01.2023;0
Ålesund Iv;SN60945;19.01.2023;2,7
Ålesund Iv;SN60945;20.01.2023;0
Ålesund Iv;SN60945;21.01.2023;0
Ålesund Iv;SN60945;22.01.2023;0
Ålesund Iv;SN60945;23.01.2023;0
Ålesund Iv;SN60945;24.01.2023;10,1
Ålesund Iv;SN60945;25.01.2023;13,9
Ålesund Iv;SN60945;26.01.2023;8,4
Ålesund Iv;SN60945;27.01.2023;0,2
Ålesund Iv;SN60945;28.01.2023;14,7
Ålesund Iv;SN60945;29.01.2023;21,4
Ålesund Iv;SN60945;30.01.2023;52,3
Ålesund Iv;SN60945;31.01.2023;1,6
Ålesund Iv;SN60945;01.02.2023;0,7
Ålesund Iv;SN60945;02.02.2023;0,8
Ålesund Iv;SN60945;03.02.2023;0
Ålesund Iv;SN60945;04.02.2023;0
Ålesund Iv;SN60945;05.02.2023;4,4
Ålesund Iv;SN60945;06.02.2023;3,2
Ålesund Iv;SN60945;07.02.2023;0
Ålesund Iv;SN60945;08.02.2023;11
Ålesund Iv;SN60945;09.02.2023;24,7
Ålesund Iv;SN60945;10.02.2023;13,5
Ålesund Iv;SN60945;11.02.2023;5,8
Ålesund Iv;SN60945;12.02.2023;6,1
Ålesund Iv;SN60945;13.02.2023;5
Ålesund Iv;SN60945;14.02.2023;0
Ålesund Iv;SN60945;15.02.2023;0
Ålesund Iv;SN60945;16.02.2023;5,1
Ålesund Iv;SN60945;17.02.2023;1
Ålesund Iv;SN60945;18.02.2023;11,1
Ålesund Iv;SN60945;19.02.2023;2,8
